Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Jan 1 2013,7:00 pm,Los Angeles Clippers,78,Denver Nuggets,92,Box Score,,
Tue Jan 1 2013,7:30 pm,Sacramento Kings,97,Detroit Pistons,103,Box Score,,
Tue Jan 1 2013,7:30 pm,Philadelphia 76ers,103,Los Angeles Lakers,99,Box Score,,
Tue Jan 1 2013,7:00 pm,Atlanta Hawks,95,New Orleans Hornets,86,Box Score,,
Tue Jan 1 2013,7:30 pm,Portland Trail Blazers,105,New York Knicks,100,Box Score,,
Tue Jan 1 2013,6:00 pm,Dallas Mavericks,103,Washington Wizards,94,Box Score,,
Wed Jan 2 2013,7:30 pm,Memphis Grizzlies,93,Boston Celtics,83,Box Score,,
Wed Jan 2 2013,7:00 pm,Sacramento Kings,97,Cleveland Cavaliers,94,Box Score,,
Wed Jan 2 2013,7:30 pm,Los Angeles Clippers,94,Golden State Warriors,115,Box Score,,
Wed Jan 2 2013,7:00 pm,New Orleans Hornets,92,Houston Rockets,104,Box Score,,
Wed Jan 2 2013,7:00 pm,Washington Wizards,81,Indiana Pacers,89,Box Score,,
Wed Jan 2 2013,7:30 pm,Dallas Mavericks,109,Miami Heat,119,Box Score,OT,
Wed Jan 2 2013,7:00 pm,San Antonio Spurs,117,Milwaukee Bucks,110,Box Score,,
Wed Jan 2 2013,7:00 pm,Brooklyn Nets,110,Oklahoma City Thunder,93,Box Score,,
Wed Jan 2 2013,7:00 pm,Chicago Bulls,96,Orlando Magic,94,Box Score,,
Wed Jan 2 2013,7:00 pm,Philadelphia 76ers,89,Phoenix Suns,95,Box Score,,
Wed Jan 2 2013,7:00 pm,Portland Trail Blazers,79,Toronto Raptors,102,Box Score,,
Wed Jan 2 2013,7:00 pm,Minnesota Timberwolves,84,Utah Jazz,106,Box Score,,
Thu Jan 3 2013,7:00 pm,Minnesota Timberwolves,101,Denver Nuggets,97,Box Score,,
Thu Jan 3 2013,7:30 pm,San Antonio Spurs,83,New York Knicks,100,Box Score,,
Fri Jan 4 2013,8:00 pm,Indiana Pacers,75,Boston Celtics,94,Box Score,,
Fri Jan 4 2013,7:00 pm,Cleveland Cavaliers,106,Charlotte Bobcats,104,Box Score,,
Fri Jan 4 2013,7:30 pm,Atlanta Hawks,84,Detroit Pistons,85,Box Score,,
Fri Jan 4 2013,7:30 pm,Los Angeles Lakers,102,Los Angeles Clippers,107,Box Score,,
Fri Jan 4 2013,7:00 pm,Portland Trail Blazers,86,Memphis Grizzlies,84,Box Score,,
Fri Jan 4 2013,8:00 pm,Chicago Bulls,96,Miami Heat,89,Box Score,,
Fri Jan 4 2013,7:30 pm,Houston Rockets,115,Milwaukee Bucks,101,Box Score,,
Fri Jan 4 2013,7:00 pm,Philadelphia 76ers,85,Oklahoma City Thunder,109,Box Score,,
Fri Jan 4 2013,7:00 pm,Utah Jazz,87,Phoenix Suns,80,Box Score,,
Fri Jan 4 2013,7:00 pm,Sacramento Kings,105,Toronto Raptors,96,Box Score,,
Fri Jan 4 2013,7:00 pm,Brooklyn Nets,115,Washington Wizards,113,Box Score,2OT,
Sat Jan 5 2013,7:00 pm,Boston Celtics,89,Atlanta Hawks,81,Box Score,,
Sat Jan 5 2013,7:30 pm,Sacramento Kings,93,Brooklyn Nets,113,Box Score,,
Sat Jan 5 2013,7:30 pm,Houston Rockets,112,Cleveland Cavaliers,104,Box Score,,
Sat Jan 5 2013,7:30 pm,New Orleans Hornets,99,Dallas Mavericks,96,Box Score,OT,
Sat Jan 5 2013,7:00 pm,Utah Jazz,91,Denver Nuggets,110,Box Score,,
Sat Jan 5 2013,7:00 pm,Milwaukee Bucks,80,Indiana Pacers,95,Box Score,,
Sat Jan 5 2013,7:30 pm,Golden State Warriors,89,Los Angeles Clippers,115,Box Score,,
Sat Jan 5 2013,7:00 pm,Portland Trail Blazers,102,Minnesota Timberwolves,97,Box Score,,
Sat Jan 5 2013,7:00 pm,New York Knicks,114,Orlando Magic,106,Box Score,,
Sat Jan 5 2013,7:30 pm,Philadelphia 76ers,86,San Antonio Spurs,109,Box Score,,
Sun Jan 6 2013,7:30 pm,Charlotte Bobcats,108,Detroit Pistons,101,Box Score,OT,
Sun Jan 6 2013,6:30 pm,Denver Nuggets,112,Los Angeles Lakers,105,Box Score,,
Sun Jan 6 2013,6:00 pm,Washington Wizards,71,Miami Heat,99,Box Score,,
Sun Jan 6 2013,6:00 pm,Memphis Grizzlies,92,Phoenix Suns,81,Box Score,,
Sun Jan 6 2013,1:00 pm,Oklahoma City Thunder,104,Toronto Raptors,92,Box Score,,
Mon Jan 7 2013,7:00 pm,Cleveland Cavaliers,92,Chicago Bulls,118,Box Score,,
Mon Jan 7 2013,7:00 pm,San Antonio Spurs,88,New Orleans Hornets,95,Box Score,,
Mon Jan 7 2013,7:30 pm,Boston Celtics,102,New York Knicks,96,Box Score,,
Mon Jan 7 2013,7:00 pm,Orlando Magic,119,Portland Trail Blazers,125,Box Score,OT,
Mon Jan 7 2013,7:00 pm,Memphis Grizzlies,113,Sacramento Kings,81,Box Score,,
Mon Jan 7 2013,7:00 pm,Dallas Mavericks,94,Utah Jazz,100,Box Score,,
Mon Jan 7 2013,7:00 pm,Oklahoma City Thunder,99,Washington Wizards,101,Box Score,,
Tue Jan 8 2013,7:00 pm,Los Angeles Lakers,112,Houston Rockets,125,Box Score,,
Tue Jan 8 2013,7:00 pm,Miami Heat,77,Indiana Pacers,87,Box Score,,
Tue Jan 8 2013,7:00 pm,Phoenix Suns,99,Milwaukee Bucks,108,Box Score,,
Tue Jan 8 2013,7:00 pm,Atlanta Hawks,103,Minnesota Timberwolves,108,Box Score,,
Tue Jan 8 2013,7:00 pm,Brooklyn Nets,109,Philadelphia 76ers,89,Box Score,,
Wed Jan 9 2013,7:30 pm,Phoenix Suns,79,Boston Celtics,87,Box Score,,
Wed Jan 9 2013,7:00 pm,Utah Jazz,112,Charlotte Bobcats,102,Box Score,,
Wed Jan 9 2013,7:00 pm,Milwaukee Bucks,104,Chicago Bulls,96,Box Score,,
Wed Jan 9 2013,7:00 pm,Atlanta Hawks,83,Cleveland Cavaliers,99,Box Score,,
Wed Jan 9 2013,7:00 pm,Orlando Magic,105,Denver Nuggets,108,Box Score,,
Wed Jan 9 2013,7:30 pm,Memphis Grizzlies,94,Golden State Warriors,87,Box Score,,
Wed Jan 9 2013,7:30 pm,Dallas Mavericks,93,Los Angeles Clippers,99,Box Score,,
Wed Jan 9 2013,7:00 pm,Houston Rockets,79,New Orleans Hornets,88,Box Score,,
Wed Jan 9 2013,7:00 pm,Minnesota Timberwolves,84,Oklahoma City Thunder,106,Box Score,,
Wed Jan 9 2013,7:00 pm,Los Angeles Lakers,105,San Antonio Spurs,108,Box Score,,
Wed Jan 9 2013,7:00 pm,Philadelphia 76ers,72,Toronto Raptors,90,Box Score,,
Thu Jan 10 2013,8:00 pm,New York Knicks,76,Indiana Pacers,81,Box Score,,
Thu Jan 10 2013,7:30 pm,Miami Heat,90,Portland Trail Blazers,92,Box Score,,
Thu Jan 10 2013,7:00 pm,Dallas Mavericks,117,Sacramento Kings,112,Box Score,OT,
Fri Jan 11 2013,7:30 pm,Utah Jazz,95,Atlanta Hawks,103,Box Score,,
Fri Jan 11 2013,7:30 pm,Houston Rockets,91,Boston Celtics,103,Box Score,,
Fri Jan 11 2013,7:30 pm,Phoenix Suns,79,Brooklyn Nets,99,Box Score,,
Fri Jan 11 2013,7:00 pm,Cleveland Cavaliers,91,Denver Nuggets,98,Box Score,,
Fri Jan 11 2013,7:30 pm,Portland Trail Blazers,97,Golden State Warriors,103,Box Score,,
Fri Jan 11 2013,7:30 pm,Oklahoma City Thunder,116,Los Angeles Lakers,101,Box Score,,
Fri Jan 11 2013,7:00 pm,San Antonio Spurs,98,Memphis Grizzlies,101,Box Score,OT,
Fri Jan 11 2013,7:30 pm,Detroit Pistons,103,Milwaukee Bucks,87,Box Score,,
Fri Jan 11 2013,7:00 pm,Minnesota Timberwolves,92,New Orleans Hornets,104,Box Score,,
Fri Jan 11 2013,8:00 pm,Chicago Bulls,108,New York Knicks,101,Box Score,,
Fri Jan 11 2013,7:00 pm,Charlotte Bobcats,78,Toronto Raptors,99,Box Score,,
Sat Jan 12 2013,7:00 pm,Phoenix Suns,97,Chicago Bulls,81,Box Score,,
Sat Jan 12 2013,8:00 pm,Memphis Grizzlies,83,Dallas Mavericks,104,Box Score,,
Sat Jan 12 2013,7:30 pm,Utah Jazz,90,Detroit Pistons,87,Box Score,,
Sat Jan 12 2013,7:00 pm,Charlotte Bobcats,88,Indiana Pacers,96,Box Score,,
Sat Jan 12 2013,12:30 pm,Orlando Magic,104,Los Angeles Clippers,101,Box Score,,
Sat Jan 12 2013,7:30 pm,Houston Rockets,100,Philadelphia 76ers,107,Box Score,,
Sat Jan 12 2013,7:00 pm,Miami Heat,128,Sacramento Kings,99,Box Score,,
Sat Jan 12 2013,7:00 pm,Atlanta Hawks,83,Washington Wizards,93,Box Score,,
Sun Jan 13 2013,6:00 pm,Indiana Pacers,86,Brooklyn Nets,97,Box Score,,
Sun Jan 13 2013,6:00 pm,Golden State Warriors,105,Denver Nuggets,116,Box Score,,
Sun Jan 13 2013,6:30 pm,Cleveland Cavaliers,93,Los Angeles Lakers,113,Box Score,,
Sun Jan 13 2013,12:00 pm,New Orleans Hornets,87,New York Knicks,100,Box Score,,
Sun Jan 13 2013,6:00 pm,Oklahoma City Thunder,87,Portland Trail Blazers,83,Box Score,,
Sun Jan 13 2013,6:00 pm,Minnesota Timberwolves,88,San Antonio Spurs,106,Box Score,,
Sun Jan 13 2013,1:00 pm,Milwaukee Bucks,107,Toronto Raptors,96,Box Score,,
Mon Jan 14 2013,7:30 pm,Charlotte Bobcats,89,Boston Celtics,100,Box Score,,
Mon Jan 14 2013,7:00 pm,Atlanta Hawks,58,Chicago Bulls,97,Box Score,,
Mon Jan 14 2013,7:30 pm,Minnesota Timberwolves,98,Dallas Mavericks,113,Box Score,,
Mon Jan 14 2013,7:00 pm,Los Angeles Clippers,99,Memphis Grizzlies,73,Box Score,,
Mon Jan 14 2013,7:00 pm,Oklahoma City Thunder,102,Phoenix Suns,90,Box Score,,
Mon Jan 14 2013,7:00 pm,Cleveland Cavaliers,118,Sacramento Kings,124,Box Score,,
Mon Jan 14 2013,7:00 pm,Miami Heat,97,Utah Jazz,104,Box Score,,
Mon Jan 14 2013,7:00 pm,Orlando Magic,91,Washington Wizards,120,Box Score,,
Tue Jan 15 2013,7:30 pm,Toronto Raptors,106,Brooklyn Nets,113,Box Score,,
Tue Jan 15 2013,7:00 pm,Indiana Pacers,103,Charlotte Bobcats,76,Box Score,,
Tue Jan 15 2013,7:00 pm,Portland Trail Blazers,111,Denver Nuggets,115,Box Score,OT,
Tue Jan 15 2013,7:00 pm,Los Angeles Clippers,117,Houston Rockets,109,Box Score,,
Tue Jan 15 2013,7:30 pm,Milwaukee Bucks,88,Los Angeles Lakers,104,Box Score,,
Tue Jan 15 2013,7:00 pm,New Orleans Hornets,111,Philadelphia 76ers,99,Box Score,,
Wed Jan 16 2013,7:30 pm,Brooklyn Nets,95,Atlanta Hawks,109,Box Score,,
Wed Jan 16 2013,8:00 pm,New Orleans Hornets,90,Boston Celtics,78,Box Score,,
Wed Jan 16 2013,7:00 pm,Houston Rockets,100,Dallas Mavericks,105,Box Score,,
Wed Jan 16 2013,7:30 pm,Miami Heat,92,Golden State Warriors,75,Box Score,,
Wed Jan 16 2013,7:00 pm,Denver Nuggets,97,Oklahoma City Thunder,117,Box Score,,
Wed Jan 16 2013,7:00 pm,Indiana Pacers,86,Orlando Magic,97,Box Score,,
Wed Jan 16 2013,7:00 pm,Cleveland Cavaliers,93,Portland Trail Blazers,88,Box Score,,
Wed Jan 16 2013,7:00 pm,Washington Wizards,94,Sacramento Kings,95,Box Score,,
Wed Jan 16 2013,7:30 pm,Memphis Grizzlies,82,San Antonio Spurs,103,Box Score,,
Wed Jan 16 2013,7:00 pm,Chicago Bulls,107,Toronto Raptors,105,Box Score,OT,
Thu Jan 17 2013,8:00 pm,New York Knicks,102,Detroit Pistons,87,Box Score,,at London England
Thu Jan 17 2013,7:30 pm,Miami Heat,99,Los Angeles Lakers,90,Box Score,,
Thu Jan 17 2013,7:00 pm,Los Angeles Clippers,90,Minnesota Timberwolves,77,Box Score,,
Thu Jan 17 2013,7:00 pm,Milwaukee Bucks,98,Phoenix Suns,94,Box Score,,
Fri Jan 18 2013,7:00 pm,Chicago Bulls,100,Boston Celtics,99,Box Score,OT,
Fri Jan 18 2013,7:30 pm,Atlanta Hawks,89,Brooklyn Nets,94,Box Score,,
Fri Jan 18 2013,8:30 pm,Oklahoma City Thunder,117,Dallas Mavericks,114,Box Score,OT,
Fri Jan 18 2013,7:00 pm,Washington Wizards,112,Denver Nuggets,108,Box Score,,
Fri Jan 18 2013,7:00 pm,Houston Rockets,95,Indiana Pacers,105,Box Score,,
Fri Jan 18 2013,7:00 pm,Sacramento Kings,69,Memphis Grizzlies,85,Box Score,,
Fri Jan 18 2013,7:00 pm,Charlotte Bobcats,106,Orlando Magic,100,Box Score,,
Fri Jan 18 2013,7:00 pm,Toronto Raptors,101,Philadelphia 76ers,108,Box Score,OT,
Fri Jan 18 2013,7:30 pm,Golden State Warriors,88,San Antonio Spurs,95,Box Score,,
Sat Jan 19 2013,7:00 pm,San Antonio Spurs,98,Atlanta Hawks,93,Box Score,,
Sat Jan 19 2013,7:00 pm,Sacramento Kings,97,Charlotte Bobcats,93,Box Score,,
