,1,2,3,4,5,6,7,8,9
0,7:00p,Orlando Magic,87,Indiana Pacers,97,Box Score,,"18,165",
1,10:30p,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,"18,997",
2,8:00p,Chicago Bulls,95,Miami Heat,107,Box Score,,"19,964",
3,7:00p,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,"20,562",
4,8:30p,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,"19,834",
5,7:30p,Washington Wizards,102,Detroit Pistons,113,Box Score,,"19,258",
6,10:30p,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,"19,596",
7,8:00p,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,"18,083",
8,8:00p,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,"17,988",
9,8:00p,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,"17,803",
10,7:30p,Milwaukee Bucks,83,New York Knicks,90,Box Score,,"19,812",
11,7:00p,Miami Heat,110,Philadelphia 76ers,114,Box Score,,"19,523",
12,10:00p,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,"17,208",
13,10:00p,Denver Nuggets,88,Sacramento Kings,90,Box Score,,"17,317",
14,8:30p,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,"18,581",
15,7:00p,Boston Celtics,87,Toronto Raptors,93,Box Score,,"20,155",
16,9:00p,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,"19,911",
17,8:00p,New York Knicks,81,Chicago Bulls,82,Box Score,,"22,022",
18,10:30p,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,"19,060",
19,7:30p,Toronto Raptors,95,Atlanta Hawks,102,Box Score,,"18,118",
20,7:30p,Milwaukee Bucks,105,Boston Celtics,98,Box Score,,"18,624",
21,8:00p,Miami Heat,100,Brooklyn Nets,101,Box Score,,"17,732",
22,7:00p,Cleveland Cavaliers,84,Charlotte Bobcats,90,Box Score,,"18,017",
23,9:00p,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,,"19,155",
24,8:00p,Dallas Mavericks,105,Houston Rockets,113,Box Score,,"18,142",
25,10:30p,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,,"18,997",
26,8:00p,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,OT,"18,119",
27,8:00p,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,,"17,433",
28,7:00p,New Orleans Pelicans,90,Orlando Magic,110,Box Score,,"18,846",
29,10:00p,Utah Jazz,84,Phoenix Suns,87,Box Score,,"14,662",
