lenth TF IDF TF-IDF TFC ITC TF-IWF
1+ 0.915 0.917 0.900 0.911 0.909 0.902
10+ 0.872 0.861 0.862 0.865 0.854 0.876
20+ 0.837 0.820 0.825 0.805 0.806 0.806
30+ 0.814 0.785 0.815 0.765 0.789 0.781
40+ 0.794 0.745 0.765 0.749 0.774 0.743
50+ 0.785 0.743 0.761 0.763 0.760 0.752
60+ 0.773 0.754 0.750 0.761 0.765 0.748
70+ 0.765 0.749 0.755 0.752 0.768 0.744
90+ 0.755 0.706 0.723 0.745 0.752 0.731
100+ 0.735 0.714 0.705 0.733 0.750 0.727
150+ 0.678 0.693 0.678 0.654 0.684 0.686
200+ 0.642 0.52 0.642 0.518 0.552 0.588
250+ 0.543 0.612 0.543 0.479 0.52 0.516
300+ 0.4 0.567 0.4 0.433 0.433 0.524
